application_name,original_area,original_freq,original_latency,original_cycles,minA_1.0x_variant,minA_1.0x_area_norm,minA_1.0x_cycle_norm,minA_1.0x_freq,minA_1.0x_freq_norm,minA_1.0x_latency_norm,minA_1.0x_power_norm,minA_1.0x_energy_norm,minE_1.0x_variant,minE_1.0x_area_norm,minE_1.0x_cycle_norm,minE_1.0x_freq,minE_1.0x_freq_norm,minE_1.0x_latency_norm,minE_1.0x_power_norm,minE_1.0x_energy_norm,minA_1.2x_variant,minA_1.2x_area_norm,minA_1.2x_cycle_norm,minA_1.2x_freq,minA_1.2x_freq_norm,minA_1.2x_latency_norm,minA_1.2x_power_norm,minA_1.2x_energy_norm,minE_1.2x_variant,minE_1.2x_area_norm,minE_1.2x_cycle_norm,minE_1.2x_freq,minE_1.2x_freq_norm,minE_1.2x_latency_norm,minE_1.2x_power_norm,minE_1.2x_energy_norm,minA_1.5x_variant,minA_1.5x_area_norm,minA_1.5x_cycle_norm,minA_1.5x_freq,minA_1.5x_freq_norm,minA_1.5x_latency_norm,minA_1.5x_power_norm,minA_1.5x_energy_norm,minE_1.5x_variant,minE_1.5x_area_norm,minE_1.5x_cycle_norm,minE_1.5x_freq,minE_1.5x_freq_norm,minE_1.5x_latency_norm,minE_1.5x_power_norm,minE_1.5x_energy_norm,minA_2.0x_variant,minA_2.0x_area_norm,minA_2.0x_cycle_norm,minA_2.0x_freq,minA_2.0x_freq_norm,minA_2.0x_latency_norm,minA_2.0x_power_norm,minA_2.0x_energy_norm,minE_2.0x_variant,minE_2.0x_area_norm,minE_2.0x_cycle_norm,minE_2.0x_freq,minE_2.0x_freq_norm,minE_2.0x_latency_norm,minE_2.0x_power_norm,minE_2.0x_energy_norm,minA_unconstrained_variant,minA_unconstrained_area_norm,minA_unconstrained_cycle_norm,minA_unconstrained_freq,minA_unconstrained_freq_norm,minA_unconstrained_latency_norm,minA_unconstrained_power_norm,minA_unconstrained_energy_norm,minE_unconstrained_variant,minE_unconstrained_area_norm,minE_unconstrained_cycle_norm,minE_unconstrained_freq,minE_unconstrained_freq_norm,minE_unconstrained_latency_norm,minE_unconstrained_power_norm,minE_unconstrained_energy_norm
basicmath_small_O3,126625.1936,20.72,0.48252968146718145,9998014.999999998,10_uarchaware,0.9704751835419898,1.000000400079416,21.31,1.0284749034749034,0.9723138568580714,1.0078536546561085,0.9799500741071836,10_uarchaware,0.9704751835419898,1.000000400079416,21.31,1.0284749034749034,0.9723138568580714,1.0078536546561085,0.9799500741071836,10_uarchaware,0.9704751835419898,1.000000400079416,21.31,1.0284749034749034,0.9723138568580714,1.0078536546561085,0.9799500741071836,10_uarchaware,0.9704751835419898,1.000000400079416,21.31,1.0284749034749034,0.9723138568580714,1.0078536546561085,0.9799500741071836,10_uarchaware,0.9704751835419898,1.000000400079416,21.31,1.0284749034749034,0.9723138568580714,1.0078536546561085,0.9799500741071836,10_uarchaware,0.9704751835419898,1.000000400079416,21.31,1.0284749034749034,0.9723138568580714,1.0078536546561085,0.9799500741071836,10_uarchaware,0.9704751835419898,1.000000400079416,21.31,1.0284749034749034,0.9723138568580714,1.0078536546561085,0.9799500741071836,10_uarchaware,0.9704751835419898,1.000000400079416,21.31,1.0284749034749034,0.9723138568580714,1.0078536546561085,0.9799500741071836,0_baseline,0.7033289526990306,291.5101941735435,26.05,1.2572393822393824,231.86530607584723,1.0055291719475712,233.14732922181682,10_uarchaware,0.9704751835419898,1.000000400079416,21.31,1.0284749034749034,0.9723138568580714,1.0078536546561085,0.9799500741071836
bitcnts_O3,111679.6096,23.03,1.521895657837603,35049257.0,10_uarchaware,0.7783728069192677,1.0015946415069512,27.32,1.1862787668258792,0.8443164199818847,1.0086780292469042,0.8516434225681289,10_uarchaware,0.7783728069192677,1.0015946415069512,27.32,1.1862787668258792,0.8443164199818847,1.0086780292469042,0.8516434225681289,10_uarchaware,0.7783728069192677,1.0015946415069512,27.32,1.1862787668258792,0.8443164199818847,1.0086780292469042,0.8516434225681289,10_uarchaware,0.7783728069192677,1.0015946415069512,27.32,1.1862787668258792,0.8443164199818847,1.0086780292469042,0.8516434225681289,10_uarchaware,0.7783728069192677,1.0015946415069512,27.32,1.1862787668258792,0.8443164199818847,1.0086780292469042,0.8516434225681289,10_uarchaware,0.7783728069192677,1.0015946415069512,27.32,1.1862787668258792,0.8443164199818847,1.0086780292469042,0.8516434225681289,10_uarchaware,0.7783728069192677,1.0015946415069512,27.32,1.1862787668258792,0.8443164199818847,1.0086780292469042,0.8516434225681289,10_uarchaware,0.7783728069192677,1.0015946415069512,27.32,1.1862787668258792,0.8443164199818847,1.0086780292469042,0.8516434225681289,10_uarchaware,0.7783728069192677,1.0015946415069512,27.32,1.1862787668258792,0.8443164199818847,1.0086780292469042,0.8516434225681289,10_uarchaware,0.7783728069192677,1.0015946415069512,27.32,1.1862787668258792,0.8443164199818847,1.0086780292469042,0.8516434225681289
combined,118561.2096,22.93,0.09490505887483645,2176173.0,18_uarchaware,0.9736275565123789,1.0000032166560286,24.43,1.0654164849542085,0.9386031010201693,1.0459541558832353,0.9817358142369382,18_uarchaware,0.9736275565123789,1.0000032166560286,24.43,1.0654164849542085,0.9386031010201693,1.0459541558832353,0.9817358142369382,12_uarchaware,0.9162814749150467,1.2082587184015243,24.19,1.054949847361535,1.145323373829969,0.9952727257656654,1.1399091161548816,18_uarchaware,0.9736275565123789,1.0000032166560286,24.43,1.0654164849542085,0.9386031010201693,1.0459541558832353,0.9817358142369382,10_uarchaware,0.9150361974714536,1.264320897281604,23.22,1.0126471870911469,1.2485304984783454,0.9548857624757838,1.1922039970137652,18_uarchaware,0.9736275565123789,1.0000032166560286,24.43,1.0654164849542085,0.9386031010201693,1.0459541558832353,0.9817358142369382,10_uarchaware,0.9150361974714536,1.264320897281604,23.22,1.0126471870911469,1.2485304984783454,0.9548857624757838,1.1922039970137652,18_uarchaware,0.9736275565123789,1.0000032166560286,24.43,1.0654164849542085,0.9386031010201693,1.0459541558832353,0.9817358142369382,1_baseline,0.7564005149960953,10.903143270319042,25.97,1.1325774095071959,9.626841555195057,0.9467247599312986,9.113969260238688,18_uarchaware,0.9736275565123789,1.0000032166560286,24.43,1.0654164849542085,0.9386031010201693,1.0459541558832353,0.9817358142369382
dijkstra_small_O3,117569.008,24.64,0.9951708603896103,24521010.0,24_uarchaware,0.9742244452721758,1.0,24.8,1.0064935064935066,0.9935483870967742,0.98904848309781,0.9826675251423402,24_uarchaware,0.9742244452721758,1.0,24.8,1.0064935064935066,0.9935483870967742,0.98904848309781,0.9826675251423402,11_uarchaware,0.9131485127441068,1.0549950838077224,23.09,0.9370941558441558,1.1258154553929096,0.8831386054648007,0.9942510912864138,24_uarchaware,0.9742244452721758,1.0,24.8,1.0064935064935066,0.9935483870967742,0.98904848309781,0.9826675251423402,11_uarchaware,0.9131485127441068,1.0549950838077224,23.09,0.9370941558441558,1.1258154553929096,0.8831386054648007,0.9942510912864138,24_uarchaware,0.9742244452721758,1.0,24.8,1.0064935064935066,0.9935483870967742,0.98904848309781,0.9826675251423402,11_uarchaware,0.9131485127441068,1.0549950838077224,23.09,0.9370941558441558,1.1258154553929096,0.8831386054648007,0.9942510912864138,24_uarchaware,0.9742244452721758,1.0,24.8,1.0064935064935066,0.9935483870967742,0.98904848309781,0.9826675251423402,0_baseline,0.7559303996168787,5.609022385293265,27.2,1.103896103896104,5.081114396089193,0.9225943094313233,4.687807227401464,24_uarchaware,0.9742244452721758,1.0,24.8,1.0064935064935066,0.9935483870967742,0.98904848309781,0.9826675251423402
libedn,109800.3072,23.15,0.1479715766738661,3425542.0,12_uarchaware,0.987590592096267,1.0012336733865763,23.66,1.0220302375809935,0.9796517133938817,1.013315199654806,0.992695971549894,24_uarchaware,0.988205934636948,0.9999999999999999,24.59,1.0622030237580995,0.941439609597397,1.0531947762188052,0.9915192789534499,12_uarchaware,0.987590592096267,1.0012336733865763,23.66,1.0220302375809935,0.9796517133938817,1.013315199654806,0.992695971549894,24_uarchaware,0.988205934636948,0.9999999999999999,24.59,1.0622030237580995,0.941439609597397,1.0531947762188052,0.9915192789534499,12_uarchaware,0.987590592096267,1.0012336733865763,23.66,1.0220302375809935,0.9796517133938817,1.013315199654806,0.992695971549894,24_uarchaware,0.988205934636948,0.9999999999999999,24.59,1.0622030237580995,0.941439609597397,1.0531947762188052,0.9915192789534499,12_uarchaware,0.987590592096267,1.0012336733865763,23.66,1.0220302375809935,0.9796517133938817,1.013315199654806,0.992695971549894,24_uarchaware,0.988205934636948,0.9999999999999999,24.59,1.0622030237580995,0.941439609597397,1.0531947762188052,0.9915192789534499,0_baseline,0.8144856192169198,58.22071923216822,26.66,1.1516198704103673,50.555500758615686,1.0072447767750303,50.92176407636173,24_uarchaware,0.988205934636948,0.9999999999999999,24.59,1.0622030237580995,0.941439609597397,1.0531947762188052,0.9915192789534499
libhuffbench,89366.96,27.07,0.08357240487624677,2262305.0,24_uarchaware,0.9717605880294015,1.0,27.89,1.0302918359807907,0.9705987809250627,1.010503932001181,0.9807938845203288,24_uarchaware,0.9717605880294015,1.0,27.89,1.0302918359807907,0.9705987809250627,1.010503932001181,0.9807938845203288,24_uarchaware,0.9717605880294015,1.0,27.89,1.0302918359807907,0.9705987809250627,1.010503932001181,0.9807938845203288,24_uarchaware,0.9717605880294015,1.0,27.89,1.0302918359807907,0.9705987809250627,1.010503932001181,0.9807938845203288,24_uarchaware,0.9717605880294015,1.0,27.89,1.0302918359807907,0.9705987809250627,1.010503932001181,0.9807938845203288,24_uarchaware,0.9717605880294015,1.0,27.89,1.0302918359807907,0.9705987809250627,1.010503932001181,0.9807938845203288,24_uarchaware,0.9717605880294015,1.0,27.89,1.0302918359807907,0.9705987809250627,1.010503932001181,0.9807938845203288,24_uarchaware,0.9717605880294015,1.0,27.89,1.0302918359807907,0.9705987809250627,1.010503932001181,0.9807938845203288,24_uarchaware,0.9717605880294015,1.0,27.89,1.0302918359807907,0.9705987809250627,1.010503932001181,0.9807938845203288,24_uarchaware,0.9717605880294015,1.0,27.89,1.0302918359807907,0.9705987809250627,1.010503932001181,0.9807938845203288
libnsichneu,89030.3872,27.68,0.0723444725433526,2002495.0000000002,21_uarchaware,0.9749564337511946,1.0000024968851358,28.17,1.0177023121387283,0.9826080622570308,1.0004535024729513,0.9830536774432063,21_uarchaware,0.9749564337511946,1.0000024968851358,28.17,1.0177023121387283,0.9826080622570308,1.0004535024729513,0.9830536774432063,21_uarchaware,0.9749564337511946,1.0000024968851358,28.17,1.0177023121387283,0.9826080622570308,1.0004535024729513,0.9830536774432063,21_uarchaware,0.9749564337511946,1.0000024968851358,28.17,1.0177023121387283,0.9826080622570308,1.0004535024729513,0.9830536774432063,21_uarchaware,0.9749564337511946,1.0000024968851358,28.17,1.0177023121387283,0.9826080622570308,1.0004535024729513,0.9830536774432063,21_uarchaware,0.9749564337511946,1.0000024968851358,28.17,1.0177023121387283,0.9826080622570308,1.0004535024729513,0.9830536774432063,21_uarchaware,0.9749564337511946,1.0000024968851358,28.17,1.0177023121387283,0.9826080622570308,1.0004535024729513,0.9830536774432063,21_uarchaware,0.9749564337511946,1.0000024968851358,28.17,1.0177023121387283,0.9826080622570308,1.0004535024729513,0.9830536774432063,21_uarchaware,0.9749564337511946,1.0000024968851358,28.17,1.0177023121387283,0.9826080622570308,1.0004535024729513,0.9830536774432063,21_uarchaware,0.9749564337511946,1.0000024968851358,28.17,1.0177023121387283,0.9826080622570308,1.0004535024729513,0.9830536774432063
libslre,89335.68,27.61,0.08800941687794278,2429940.0,24_uarchaware,0.974733893557423,1.0,27.83,1.0079681274900398,0.9920948616600791,0.9908272813507873,0.9829946546207416,24_uarchaware,0.974733893557423,1.0,27.83,1.0079681274900398,0.9920948616600791,0.9908272813507873,0.9829946546207416,24_uarchaware,0.974733893557423,1.0,27.83,1.0079681274900398,0.9920948616600791,0.9908272813507873,0.9829946546207416,24_uarchaware,0.974733893557423,1.0,27.83,1.0079681274900398,0.9920948616600791,0.9908272813507873,0.9829946546207416,24_uarchaware,0.974733893557423,1.0,27.83,1.0079681274900398,0.9920948616600791,0.9908272813507873,0.9829946546207416,24_uarchaware,0.974733893557423,1.0,27.83,1.0079681274900398,0.9920948616600791,0.9908272813507873,0.9829946546207416,24_uarchaware,0.974733893557423,1.0,27.83,1.0079681274900398,0.9920948616600791,0.9908272813507873,0.9829946546207416,24_uarchaware,0.974733893557423,1.0,27.83,1.0079681274900398,0.9920948616600791,0.9908272813507873,0.9829946546207416,24_uarchaware,0.974733893557423,1.0,27.83,1.0079681274900398,0.9920948616600791,0.9908272813507873,0.9829946546207416,24_uarchaware,0.974733893557423,1.0,27.83,1.0079681274900398,0.9920948616600791,0.9908272813507873,0.9829946546207416
libstatemate,89716.0448,26.71,0.05440363159865219,1453121.0,10_baseline,0.9959137565547249,1.000008258087248,27.14,1.0160988393859978,0.9841643542192481,1.0131566505910379,0.9971126607518651,10_baseline,0.9959137565547249,1.000008258087248,27.14,1.0160988393859978,0.9841643542192481,1.0131566505910379,0.9971126607518651,24_uarchaware,0.9756498940087025,1.0,26.67,0.9985024335454886,1.0014998125234345,0.982226905691116,0.9837000619051258,24_uarchaware,0.9756498940087025,1.0,26.67,0.9985024335454886,1.0014998125234345,0.982226905691116,0.9837000619051258,24_uarchaware,0.9756498940087025,1.0,26.67,0.9985024335454886,1.0014998125234345,0.982226905691116,0.9837000619051258,24_uarchaware,0.9756498940087025,1.0,26.67,0.9985024335454886,1.0014998125234345,0.982226905691116,0.9837000619051258,24_uarchaware,0.9756498940087025,1.0,26.67,0.9985024335454886,1.0014998125234345,0.982226905691116,0.9837000619051258,24_uarchaware,0.9756498940087025,1.0,26.67,0.9985024335454886,1.0014998125234345,0.982226905691116,0.9837000619051258,24_uarchaware,0.9756498940087025,1.0,26.67,0.9985024335454886,1.0014998125234345,0.982226905691116,0.9837000619051258,24_uarchaware,0.9756498940087025,1.0,26.67,0.9985024335454886,1.0014998125234345,0.982226905691116,0.9837000619051258
libud,122885.3568,20.64,0.039605668604651166,817461.0000000001,original,1.0,1.0,20.64,1.0,1.0,1.0,1.0,original,1.0,1.0,20.64,1.0,1.0,1.0,1.0,12_baseline,0.9985439957643514,1.0000134562994443,20.48,0.9922480620155039,1.0078260614267838,0.9913575078814606,0.9991159326340442,12_baseline,0.9985439957643514,1.0000134562994443,20.48,0.9922480620155039,1.0078260614267838,0.9913575078814606,0.9991159326340442,12_baseline,0.9985439957643514,1.0000134562994443,20.48,0.9922480620155039,1.0078260614267838,0.9913575078814606,0.9991159326340442,12_baseline,0.9985439957643514,1.0000134562994443,20.48,0.9922480620155039,1.0078260614267838,0.9913575078814606,0.9991159326340442,12_baseline,0.9985439957643514,1.0000134562994443,20.48,0.9922480620155039,1.0078260614267838,0.9913575078814606,0.9991159326340442,12_baseline,0.9985439957643514,1.0000134562994443,20.48,0.9922480620155039,1.0078260614267838,0.9913575078814606,0.9991159326340442,0_baseline,0.7259453845683915,68.65912502247812,27.17,1.316375968992248,52.15768643592008,1.0723707825839257,55.93237902105462,12_baseline,0.9985439957643514,1.0000134562994443,20.48,0.9922480620155039,1.0078260614267838,0.9913575078814606,0.9991159326340442
