benchmark,variant_dir,scale,variant_num,status,cycles,instructions,wallclock_s
basicmath_small_O3,variant_original,original,,PASS,37900359,9549123,52.638
basicmath_small_O3,variant_gp,gp,,PASS,37900359,9549123,50.04
basicmath_small_O3,variant_0,0,0,PASS,1838786201,1465358182,2903.45
basicmath_small_O3,variant_1,0.0001,0,PASS,106879096,67948640,193.824
basicmath_small_O3,variant_2,0.0002,0,PASS,106372626,67442170,161.439
basicmath_small_O3,variant_3,0.0005,0,PASS,38112585,9714277,51.718
basicmath_small_O3,variant_4,0.001,0,PASS,38031959,9680722,51.383
basicmath_small_O3,variant_5,0.0015,0,PASS,38031959,9680722,50.71
basicmath_small_O3,variant_6,0.002,0,PASS,37900363,9549126,50.622
basicmath_small_O3,variant_7,0.003,0,PASS,37900363,9549126,51.944
basicmath_small_O3,variant_8,0.005,0,PASS,37900363,9549126,53.49
basicmath_small_O3,variant_9,0.007,0,PASS,37900363,9549126,52.627
basicmath_small_O3,variant_10,0.01,0,PASS,37900363,9549126,40.636
basicmath_small_O3,variant_11,0.015,0,PASS,37900363,9549126,45.576
basicmath_small_O3,variant_12,0.02,0,PASS,37900363,9549126,40.602
basicmath_small_O3,variant_13,0.03,0,PASS,37900363,9549126,41.266
basicmath_small_O3,variant_14,0.05,0,PASS,37900363,9549126,43.474
basicmath_small_O3,variant_15,0.07,0,PASS,37900363,9549126,47.182
basicmath_small_O3,variant_16,0.1,0,PASS,37900363,9549126,47.625
basicmath_small_O3,variant_17,0.15,0,PASS,37900363,9549126,44.853
basicmath_small_O3,variant_18,0.2,0,PASS,37900363,9549126,46.306
basicmath_small_O3,variant_19,0.3,0,PASS,37900363,9549126,40.377
basicmath_small_O3,variant_20,0.4,0,PASS,37900363,9549126,51.696
basicmath_small_O3,variant_21,0.5,0,PASS,37900363,9549126,50.295
basicmath_small_O3,variant_22,0.6,0,PASS,37900363,9549126,52.388
basicmath_small_O3,variant_23,0.7,0,PASS,37900363,9549126,50.905
basicmath_small_O3,variant_24,0.85,0,PASS,37900363,9549126,45.74
