application,orig_total_instr,orig_unique_instr,orig_bits_per_instr,orig_code_bytes_32,orig_code_bytes_minimal,rewr_variant,rewr_num_opcode_types,rewr_total_instr,rewr_unique_instr,rewr_bits_per_instr,rewr_code_bytes_32,rewr_code_bytes_minimal
basicmath_small_O3,951,628,10,3804,1188.75,0_baseline,16,10016,1405,11,40064,13772.0
bitcnts_O3,485,367,9,1940,545.625,0_baseline,17,1584,547,10,6336,1980.0
combined,5255,2113,12,21020,7882.5,0_baseline,20,8834,2340,12,35336,13251.0
dijkstra_small_O3,509,420,9,2036,572.625,0_baseline,16,2284,732,10,9136,2855.0
libedn,953,687,10,3812,1191.25,0_baseline,20,2125,824,10,8500,2656.25
libhuffbench,1265,703,10,5060,1581.25,0_baseline,17,1493,749,10,5972,1866.25
libnsichneu,4692,901,10,18768,5865.0,0_baseline,14,5928,655,10,23712,7410.0
libslre,1366,951,10,5464,1707.5,0_baseline,16,1838,1111,11,7352,2527.25
libstatemate,1993,1201,11,7972,2740.375,0_baseline,17,2177,1227,11,8708,2993.375
libud,1059,713,10,4236,1323.75,0_baseline,16,3531,895,10,14124,4413.75
libwikisort,4594,2519,12,18376,6891.0,0_baseline,18,6742,2793,12,26968,10113.0
matmult-int,371,265,9,1484,417.375,0_baseline,17,1031,395,9,4124,1159.875
md5,1205,720,10,4820,1506.25,0_baseline,16,1861,851,10,7444,2326.25
mont64,848,690,10,3392,1060.0,0_baseline,16,6984,1235,11,27936,9603.0
patricia_O3,965,616,10,3860,1206.25,0_baseline,18,1379,746,10,5516,1723.75
picojpeg_test,4968,2653,12,19872,7452.0,0_baseline,22,7930,2969,12,31720,11895.0
primecount,160,115,7,640,140.0,0_baseline,14,244,167,8,976,244.0
qsort_large_O3,275,241,8,1100,275.0,0_baseline,16,883,385,9,3532,993.375
qsort_small_O3,318,254,8,1272,318.0,0_baseline,17,410,293,9,1640,461.25
rijndael_Oz,1192,835,10,4768,1490.0,0_baseline,22,1306,890,10,5224,1632.5
sha_O3,1096,959,10,4384,1370.0,0_baseline,16,1408,1122,11,5632,1936.0
tarfind,397,349,9,1588,446.625,0_baseline,18,1350,638,10,5400,1687.5
