application,original_code_size,original_code_size_bytes,original_num_blocks,min_area_variant,min_area_code_size,min_area_code_size_bytes,min_area_num_unique_instr,min_area_compressed_bits,min_area_compressed_size_bytes,min_area_num_blocks,min_area_area,min_instr_variant,min_instr_code_size,min_instr_code_size_bytes,min_instr_num_unique_instr,min_instr_compressed_bits,min_instr_compressed_size_bytes,min_instr_num_blocks,min_instr_area
basicmath_small_O3,951,3804.0,149,0_baseline,10016,40064.0,16,29,36308.0,149,89059.1648,0_baseline,10016,40064.0,16,29,36308.0,149,89059.1648
bitcnts_O3,485,1940.0,82,10_uarchaware,1393,5572.0,19,30,5223.75,82,86928.3712,0_baseline,1584,6336.0,17,30,5940.0,82,89295.6416
combined,5255,21020.0,1626,1_baseline,8666,34664.0,20,30,32497.5,1626,89679.76,0_baseline,8834,35336.0,20,30,33127.5,1626,90640.6816
dijkstra_small_O3,509,2036.0,89,0_baseline,2284,9136.0,16,29,8279.5,89,88873.9872,0_baseline,2284,9136.0,16,29,8279.5,89,88873.9872
libedn,953,3812.0,133,0_baseline,2125,8500.0,20,30,7968.75,103,89430.7712,0_baseline,2125,8500.0,20,30,7968.75,103,89430.7712
libhuffbench,1265,5060.0,308,24_uarchaware,1355,5420.0,28,30,5081.25,278,86843.2896,0_baseline,1493,5972.0,17,30,5598.75,278,89025.3824
libnsichneu,4692,18768.0,815,21_uarchaware,5208,20832.0,17,30,19530.0,815,86800.7488,0_baseline,5928,23712.0,14,29,21489.0,815,88845.2096
libslre,1366,5464.0,381,24_uarchaware,1560,6240.0,29,30,5850.0,381,87078.5152,0_baseline,1838,7352.0,16,29,6662.75,381,89739.8176
libstatemate,1993,7972.0,405,24_uarchaware,2113,8452.0,26,30,7923.75,405,87531.4496,0_baseline,2177,8708.0,17,30,8163.75,405,89638.4704
libud,1059,4236.0,126,0_baseline,3531,14124.0,16,29,12799.875,126,89208.0576,0_baseline,3531,14124.0,16,29,12799.875,126,89208.0576
libwikisort,4594,18376.0,1030,0_baseline,6742,26968.0,18,30,25282.5,1030,89311.9072,0_baseline,6742,26968.0,18,30,25282.5,1030,89311.9072
matmult-int,371,1484.0,103,1_baseline,1344,5376.0,17,30,5040.0,103,89276.8736,0_baseline,1031,4124.0,17,30,3866.25,103,89619.7024
md5,1205,4820.0,151,15_uarchaware,1340,5360.0,24,30,5025.0,121,89159.2608,0_baseline,1861,7444.0,16,29,6746.125,121,89166.768
mont64,848,3392.0,132,0_baseline,6984,27936.0,16,29,25317.0,102,89159.2608,0_baseline,6984,27936.0,16,29,25317.0,102,89159.2608
patricia_O3,965,3860.0,241,0_baseline,1379,5516.0,18,30,5171.25,241,89405.7472,0_baseline,1379,5516.0,18,30,5171.25,241,89405.7472
picojpeg_test,4968,19872.0,983,0_baseline,7930,31720.0,22,30,29737.5,983,90023.84,0_baseline,7930,31720.0,22,30,29737.5,983,90023.84
primecount,160,640.0,65,0_baseline,244,976.0,14,29,884.5,65,88840.2048,0_baseline,244,976.0,14,29,884.5,65,88840.2048
qsort_large_O3,275,1100.0,74,1_baseline,1176,4704.0,16,29,4263.0,74,88873.9872,0_baseline,883,3532.0,16,29,3200.875,74,89140.4928
qsort_small_O3,318,1272.0,95,15_uarchaware,329,1316.0,22,30,1233.75,95,86786.9856,0_baseline,410,1640.0,17,30,1537.5,95,89388.2304
rijndael_Oz,1192,4768.0,205,3_uarchaware,1268,5072.0,23,30,4755.0,205,107783.3728,0_baseline,1306,5224.0,22,30,4897.5,205,110606.08
sha_O3,1096,4384.0,139,24_uarchaware,1115,4460.0,26,30,4181.25,139,86965.9072,0_baseline,1408,5632.0,16,29,5104.0,139,88881.4944
tarfind,397,1588.0,108,1_baseline,1276,5104.0,18,30,4785.0,108,89398.24,0_baseline,1350,5400.0,18,30,5062.5,108,89424.5152
