application,orig_total_instr,orig_unique_instr,orig_uniform_bits,orig_entropy_bits,orig_huffman_bits,orig_code_bytes_32,orig_code_bytes_uniform,orig_code_bytes_entropy,orig_code_bytes_huffman,rewr_variant,rewr_num_opcode_types,rewr_total_instr,rewr_unique_instr,rewr_uniform_bits,rewr_entropy_bits,rewr_huffman_bits,rewr_code_bytes_32,rewr_code_bytes_uniform,rewr_code_bytes_entropy,rewr_code_bytes_huffman
basicmath_small_O3,770,531,10,8.678680478939166,8.744155844155845,3080,962.5,835.3229960978947,841.6250000000001,0_baseline,16,11777,1458,11,7.8201176301301745,7.853358240638533,47108,16193.375,11512.190666255383,11561.125
bitcnts_O3,354,279,9,7.926343596883518,8.002824858757062,1416,398.25,350.74070416209565,354.125,0_baseline,17,1209,434,9,7.815136289388411,7.840363937138131,4836,1360.125,1181.0624717338235,1184.875
combined,5206,2082,12,9.921890899480955,9.9684978870534,20824,7809.0,6456.670502837232,6487.000000000001,0_baseline,20,10488,2441,12,9.397373619210244,9.4406941266209,41952,15732.0,12319.95681478463,12376.749999999998
dijkstra_small_O3,421,350,9,8.29226609042204,8.351543942992874,1684,473.625,436.3805030084598,439.5,0_baseline,15,1617,584,10,7.856570732362683,7.893011750154607,6468,2021.25,1588.0093592788073,1595.375
libedn,904,654,10,9.097885671649527,9.132743362831858,3616,1130.0,1028.0610808963966,1032.0,0_baseline,19,2147,840,10,8.241394608820872,8.265486725663717,8588,2683.75,2211.7842781423014,2218.25
libhuffbench,1207,668,10,9.052245554801036,9.105219552609777,4828,1508.75,1365.7575480806063,1373.75,0_baseline,17,1467,726,10,9.094182666150507,9.160190865712337,5868,1833.75,1667.6457464053492,1679.7499999999998
libnsichneu,4634,861,10,6.369760761677494,6.412818299525248,18536,5792.5,3689.6839212016885,3714.625,0_baseline,13,5770,748,10,6.2157189540953315,6.2771230502599655,23080,7212.5,4483.087295641258,4527.375
libslre,1308,915,10,9.582609445757146,9.649847094801224,5232,1635.0,1566.7566443812934,1577.7500000000002,0_baseline,16,1762,1077,11,9.67974587217243,9.715096481271283,7048,2422.75,2131.964028345978,2139.75
libstatemate,1935,1162,11,9.7341841205553,9.74625322997416,7740,2660.625,2354.455784159313,2357.375,0_baseline,15,2063,1178,11,9.678531207351455,9.695104217159477,8252,2836.625,2495.8512350957562,2500.125
libud,1059,713,10,9.195303833559255,9.20491029272899,4236,1323.75,1217.2283449674064,1218.5,0_baseline,15,3550,907,10,7.559457254487233,7.581690140845071,14200,4437.5,3354.5091566787096,3364.375
libwikisort,4594,2519,12,10.800026723812419,10.82738354375272,18376,6891.0,6201.9153461492815,6217.625,0_baseline,17,6731,2744,12,10.561915137436273,10.594562472143812,26924,10096.5,8886.531348760444,8914.0
matmult-int,322,232,8,7.5838099680826945,7.658385093167702,1288,322.0,305.24835121532846,308.25,0_baseline,16,965,354,9,7.497090348018717,7.52020725388601,3860,1085.625,904.3365232297577,907.125
md5,1147,680,10,9.117543042550368,9.156059285091542,4588,1433.75,1307.227733725659,1312.7499999999998,0_baseline,15,1839,834,10,9.136546940441342,9.157150625339858,7356,2298.75,2100.2637279339533,2105.0
mont64,799,658,10,9.210014627204066,9.28035043804756,3196,998.75,919.8502108920061,926.875,0_baseline,16,11046,1474,11,8.066826634816954,8.109089263081659,44184,15188.25,11138.27087602351,11196.625
patricia_O3,867,564,10,8.82737505547208,8.870818915801614,3468,1083.75,956.6667716367867,961.3749999999999,0_baseline,17,1128,674,10,9.050235220617834,9.072695035460994,4512,1410.0,1276.0831661071145,1279.25
picojpeg_test,4919,2628,12,10.684695028664585,10.73144948160195,19676,7378.5,6569.751855750137,6598.499999999999,0_baseline,22,8311,3042,12,10.225935086827743,10.243893634941644,33244,12466.5,10623.468313328172,10642.125
primecount,111,82,7,5.982652656117377,6.027027027027027,444,97.125,83.0093056036286,83.625,0_baseline,13,158,116,7,6.554601135251009,6.620253164556962,632,138.25,129.45337242120743,130.75
qsort_large_O3,199,181,8,7.445669846674313,7.522613065326633,796,199.0,185.21103743602356,187.125,0_baseline,16,796,316,9,7.376408809080619,7.414572864321608,3184,895.5,733.9526765035216,737.75
qsort_small_O3,238,195,8,7.503979317893466,7.529411764705882,952,238.0,223.24338470733062,224.0,0_baseline,17,286,228,8,7.714472462704113,7.758741258741258,1144,286.0,275.79239054167203,277.375
rijndael_Oz,1173,820,10,9.206149673170541,9.255754475703325,4692,1466.25,1349.8516958286307,1357.125,0_baseline,18,1859,1065,11,9.449124627490876,9.467993544916622,7436,2556.125,2195.740335313192,2200.125
sha_O3,1051,922,10,9.741887533661155,9.75071360608944,4204,1313.75,1279.8404747347342,1281.0,0_baseline,16,1676,1109,11,9.681612632532424,9.729713603818615,6704,2304.5,2028.297846515543,2038.3749999999998
tarfind,348,316,9,8.192126793219042,8.272988505747126,1392,391.5,356.35751550502835,359.87499999999994,0_baseline,17,876,499,9,8.322190985814432,8.355022831050228,3504,985.5,911.2799129466803,914.8749999999999
