application,orig_total_instr,orig_unique_instr,orig_uniform_bits,orig_entropy_bits,orig_huffman_bits,orig_code_bytes_32,orig_code_bytes_uniform,orig_code_bytes_entropy,orig_code_bytes_huffman,rewr_variant,rewr_num_opcode_types,rewr_total_instr,rewr_unique_instr,rewr_uniform_bits,rewr_entropy_bits,rewr_huffman_bits,rewr_code_bytes_32,rewr_code_bytes_uniform,rewr_code_bytes_entropy,rewr_code_bytes_huffman
basicmath_small_O3,770,531,10,8.678680478939166,8.744155844155845,3080,962.5,835.3229960978947,841.6250000000001,0_baseline,16,7994,1188,11,7.5732807815045655,7.597698273705279,31976,10991.75,7567.600820918437,7592.0
bitcnts_O3,354,279,9,7.926343596883518,8.002824858757062,1416,398.25,350.74070416209565,354.125,0_baseline,17,1210,434,9,7.8150437603639595,7.840495867768595,4840,1361.25,1182.025368755049,1185.875
combined,5206,2082,12,9.921890899480955,9.9684978870534,20824,7809.0,6456.670502837232,6487.000000000001,0_baseline,20,10598,2406,12,9.379788764758372,9.423004340441592,42392,15897.0,12425.875166113652,12483.124999999998
dijkstra_small_O3,421,350,9,8.29226609042204,8.351543942992874,1684,473.625,436.3805030084598,439.5,0_baseline,15,1611,579,10,7.842011272371133,7.878336436995655,6444,2013.75,1579.1850199737369,1586.5
libedn,904,654,10,9.097885671649527,9.132743362831858,3616,1130.0,1028.0610808963966,1032.0,0_baseline,19,2147,840,10,8.241394608820872,8.265486725663717,8588,2683.75,2211.7842781423014,2218.25
libhuffbench,1207,668,10,9.052245554801036,9.105219552609777,4828,1508.75,1365.7575480806063,1373.75,0_baseline,17,1472,729,10,9.100119124124666,9.165760869565217,5888,1840.0,1674.4219188389384,1686.5
libnsichneu,4634,861,10,6.369760761677494,6.412818299525248,18536,5792.5,3689.6839212016885,3714.625,0_baseline,13,5774,751,10,6.221092877895506,6.282473155524766,23096,7217.5,4490.073784621081,4534.375
libslre,1308,915,10,9.582609445757146,9.649847094801224,5232,1635.0,1566.7566443812934,1577.7500000000002,0_baseline,16,1768,1079,11,9.68280540277399,9.716628959276019,7072,2431.0,2139.899994013052,2147.375
libstatemate,1935,1162,11,9.7341841205553,9.74625322997416,7740,2660.625,2354.455784159313,2357.375,0_baseline,15,2059,1178,11,9.676294088077631,9.69256920835357,8236,2831.125,2490.43619091898,2494.625
libud,1059,713,10,9.195303833559255,9.20491029272899,4236,1323.75,1217.2283449674064,1218.5,0_baseline,15,3545,901,10,7.55145186007819,7.5737658674189,14180,4431.25,3346.237105497148,3356.125
libwikisort,4594,2519,12,10.800026723812419,10.82738354375272,18376,6891.0,6201.9153461492815,6217.625,0_baseline,17,7500,2789,12,10.465955797372903,10.488,30000,11250.0,9811.833560037096,9832.5
matmult-int,322,232,8,7.5838099680826945,7.658385093167702,1288,322.0,305.24835121532846,308.25,0_baseline,16,965,353,9,7.495017809158614,7.518134715025907,3860,1085.625,904.0865232297577,906.875
md5,1147,680,10,9.117543042550368,9.156059285091542,4588,1433.75,1307.227733725659,1312.7499999999998,0_baseline,15,1845,842,10,9.148294428980405,9.168563685636856,7380,2306.25,2109.8254026836057,2114.5
mont64,799,658,10,9.210014627204066,9.28035043804756,3196,998.75,919.8502108920061,926.875,0_baseline,16,7199,1297,11,8.067991744518695,8.094179747187109,28796,9898.625,7260.184071098761,7283.75
patricia_O3,867,564,10,8.82737505547208,8.870818915801614,3468,1083.75,956.6667716367867,961.3749999999999,0_baseline,17,1103,676,10,9.078000798913195,9.097008159564822,4412,1378.75,1251.6293601501568,1254.25
picojpeg_test,4919,2628,12,10.684695028664585,10.73144948160195,19676,7378.5,6569.751855750137,6598.499999999999,0_baseline,22,7969,2983,12,10.235185928765556,10.25222738110177,31876,11953.5,10195.52458329159,10212.5
primecount,111,82,7,5.982652656117377,6.027027027027027,444,97.125,83.0093056036286,83.625,0_baseline,14,164,121,7,6.615994130592726,6.689024390243903,656,143.5,135.62787967715087,137.125
qsort_large_O3,199,181,8,7.445669846674313,7.522613065326633,796,199.0,185.21103743602356,187.125,0_baseline,16,806,316,9,7.393294141519409,7.430521091811414,3224,906.75,744.8743847580804,748.625
qsort_small_O3,238,195,8,7.503979317893466,7.529411764705882,952,238.0,223.24338470733062,224.0,0_baseline,17,308,241,8,7.788591045515833,7.853896103896104,1232,308.0,299.8607552523596,302.375
rijndael_Oz,1173,820,10,9.206149673170541,9.255754475703325,4692,1466.25,1349.8516958286307,1357.125,0_baseline,18,1865,1055,11,9.437578358545938,9.455764075067025,7460,2564.375,2200.135454836022,2204.375
sha_O3,1051,922,10,9.741887533661155,9.75071360608944,4204,1313.75,1279.8404747347342,1281.0,0_baseline,16,1584,1085,11,9.661071996459823,9.722222222222221,6336,2178.0,1912.892255299045,1924.9999999999998
tarfind,348,316,9,8.192126793219042,8.272988505747126,1392,391.5,356.35751550502835,359.87499999999994,0_baseline,17,876,500,9,8.323612347113333,8.356164383561644,3504,985.5,911.4355520089099,915.0000000000001
