application,original_num_instructions,original_simple_arith,original_complex_arith,original_branch,original_memory,min_area_variant,min_area_num_instructions,min_area_simple_arith,min_area_complex_arith,min_area_branch,min_area_memory,min_area_value,min_area_latency,min_instr_variant,min_instr_count,min_instr_area,min_instr_latency
basicmath_small_O3,26,12,4,8,2,0_baseline,16,9,0,5,2,89059.1648,109.85623017274472,0_baseline,16,89059.1648,109.85623017274472
bitcnts_O3,25,13,2,7,3,13_uarchaware,21,12,0,6,3,86765.7152,1.2662275712739084,0_baseline,17,89567.152,1.8738763433104941
combined,31,14,3,8,6,1_baseline,20,9,0,5,6,89679.76,0.9136204081632653,0_baseline,20,90631.9232,1.1440868607689436
dijkstra_small_O3,19,10,2,5,2,0_baseline,15,9,0,4,2,88955.3152,4.262773607476635,0_baseline,15,88955.3152,4.262773607476635
libedn,24,12,1,5,6,0_baseline,19,10,0,4,5,89485.824,7.554572803030303,0_baseline,19,89485.824,7.554572803030303
libhuffbench,27,15,0,8,4,20_uarchaware,26,14,0,8,4,86805.7536,0.08043313188766442,0_baseline,17,89643.4752,0.10748964143426294
libnsichneu,16,8,0,6,2,26_uarchaware,16,8,0,6,2,86093.8208,0.0728033090909091,0_baseline,13,88698.8192,0.08529952100221076
libslre,29,18,0,8,3,26_uarchaware,30,19,0,8,3,86899.5936,0.08805857194635737,0_baseline,16,89435.776,0.12341407208588957
libstatemate,19,8,0,6,5,1_baseline,15,6,0,4,5,86989.68,0.05670263963274675,0_baseline,15,87306.2336,0.05719079545454545
libud,24,11,2,8,3,0_baseline,15,8,0,5,2,88547.424,2.1172054696341003,0_baseline,15,88547.424,2.1172054696341003
libwikisort,30,14,4,8,4,0_baseline,17,9,0,5,3,89584.6688,0.340503241252302,0_baseline,17,89584.6688,0.340503241252302
matmult-int,20,11,2,4,3,0_baseline,16,10,0,4,2,89169.2704,4.836796509919177,0_baseline,16,89169.2704,4.836796509919177
md5,28,16,0,8,4,0_baseline,15,7,0,5,3,88991.6,0.11529069069069069,0_baseline,15,88991.6,0.11529069069069069
mont64,25,14,2,7,2,1_baseline,16,9,0,5,2,89035.392,2.1548102855051243,0_baseline,16,89159.2608,1.8882754347021828
patricia_O3,26,13,1,8,4,2_baseline,18,8,0,6,4,89148.0,0.2991709225092251,0_baseline,17,89497.0848,0.3175955440029707
picojpeg_test,34,17,1,8,8,0_baseline,22,9,0,5,8,89933.7536,1.7351241531664212,0_baseline,22,89933.7536,1.7351241531664212
primecount,17,8,1,6,2,0_baseline,14,8,0,4,2,88524.9024,1.835437074074074,0_baseline,14,88524.9024,1.835437074074074
qsort_large_O3,23,11,2,8,2,0_baseline,16,9,0,5,2,89159.2608,14.162492119866815,0_baseline,16,89159.2608,14.162492119866815
qsort_small_O3,23,13,0,6,4,12_uarchaware,22,12,0,6,4,86867.0624,1.0611118741058656,0_baseline,17,89236.8352,1.3402274163910326
rijndael_Oz,30,15,3,8,4,0_baseline,18,9,0,5,4,89540.8768,660.9787748797633,0_baseline,18,89540.8768,660.9787748797633
sha_O3,23,13,0,6,4,1_uarchaware,18,9,0,5,4,86999.6896,0.5146144970414201,0_baseline,16,89428.2688,2.0461569815581484
tarfind,23,12,2,5,4,0_baseline,17,10,0,4,3,89399.4912,3.930850527903469,0_baseline,17,89399.4912,3.930850527903469
