application_name,baseline_variant,minA_1.2x_variant,minE_1.2x_variant,minA_unconstrained_variant,minE_unconstrained_variant,baseline_Total Area,minA_1.2x_Total Area,minE_1.2x_Total Area,minA_unconstrained_Total Area,minE_unconstrained_Total Area,minA_1.2x_Total Area_%,minE_1.2x_Total Area_%,minA_unconstrained_Total Area_%,minE_unconstrained_Total Area_%,baseline_Total Power (mW),minA_1.2x_Total Power (mW),minE_1.2x_Total Power (mW),minA_unconstrained_Total Power (mW),minE_unconstrained_Total Power (mW),minA_1.2x_Total Power (mW)_%,minE_1.2x_Total Power (mW)_%,minA_unconstrained_Total Power (mW)_%,minE_unconstrained_Total Power (mW)_%,baseline_Max Freq (MHz),minA_1.2x_Max Freq (MHz),minE_1.2x_Max Freq (MHz),minA_unconstrained_Max Freq (MHz),minE_unconstrained_Max Freq (MHz),minA_1.2x_Max Freq (MHz)_%,minE_1.2x_Max Freq (MHz)_%,minA_unconstrained_Max Freq (MHz)_%,minE_unconstrained_Max Freq (MHz)_%
basicmath_small_O3,ibex_basicmath_original,10_uarchaware,10_uarchaware,0_baseline,10_uarchaware,131208,127486,127486,93184.4,127486,-2.80%,-2.80%,-29.00%,-2.80%,4.372,4.25352,4.25352,3.46041,4.25352,-2.70%,-2.70%,-20.90%,-2.70%,47.21,46.57,46.57,63.39,46.57,-1.40%,-1.40%,34.30%,-1.40%
bitcnts_O3,ibex_bitcnts_original,13_uarchaware,13_uarchaware,13_uarchaware,13_uarchaware,115855,90658.2,90658.2,90658.2,90658.2,-21.70%,-21.70%,-21.70%,-21.70%,3.99477,3.3504,3.3504,3.3504,3.3504,-16.10%,-16.10%,-16.10%,-16.10%,45.9,67.54,67.54,67.54,67.54,47.10%,47.10%,47.10%,47.10%
combined,ibex_combined_original,6_uarchaware,14_uarchaware,1_baseline,14_uarchaware,123018,112432,119626,93439.6,119626,-8.60%,-2.80%,-24.00%,-2.80%,4.05582,3.85109,3.93673,3.42816,3.93673,-5.00%,-2.90%,-15.50%,-2.90%,48.23,39.1,42.95,63.65,42.95,-18.90%,-10.90%,32.00%,-10.90%
dijkstra_small_O3,ibex_dijkstra_original,6_uarchaware,16_uarchaware,0_baseline,16_uarchaware,121522,112072,118845,92473.7,118845,-7.80%,-2.20%,-23.90%,-2.20%,3.96369,3.83743,3.91553,3.39644,3.91553,-3.20%,-1.20%,-14.30%,-1.20%,46.23,50.91,43.32,67.08,43.32,10.10%,-6.30%,45.10%,-6.30%
libedn,ibex_libedn_original,19_uarchaware,19_uarchaware,0_baseline,19_uarchaware,113919,112718,112718,93131.8,112718,-1.10%,-1.10%,-18.20%,-1.10%,3.9097,3.82654,3.82654,3.45599,3.82654,-2.10%,-2.10%,-11.60%,-2.10%,44.63,50.92,50.92,61.15,50.92,14.10%,14.10%,37.00%,14.10%
libhuffbench,ibex_libhuffbench_original,20_uarchaware,22_uarchaware,20_uarchaware,22_uarchaware,90491.8,90675.7,90585.6,90675.7,90585.6,0.20%,0.10%,0.20%,0.10%,3.31555,3.34699,3.30596,3.34699,3.30596,0.90%,-0.30%,0.90%,-0.30%,58.64,66.56,65.72,66.56,65.72,13.50%,12.10%,13.50%,12.10%
libnsichneu,ibex_libnsichneu_original,26_uarchaware,26_uarchaware,26_uarchaware,26_uarchaware,92910.4,89754.8,89754.8,89754.8,89754.8,-3.40%,-3.40%,-3.40%,-3.40%,3.44791,3.27645,3.27645,3.27645,3.27645,-5.00%,-5.00%,-5.00%,-5.00%,69.12,71.91,71.91,71.91,71.91,4.00%,4.00%,4.00%,4.00%
libslre,ibex_libslre_original,26_uarchaware,26_uarchaware,26_uarchaware,26_uarchaware,93079.3,91049.8,91049.8,91049.8,91049.8,-2.20%,-2.20%,-2.20%,-2.20%,3.41862,3.34939,3.34939,3.34939,3.34939,-2.00%,-2.00%,-2.00%,-2.00%,66.19,63.22,63.22,63.22,63.22,-4.50%,-4.50%,-4.50%,-4.50%
libstatemate,ibex_libstatemate_original,1_baseline,23_baseline,1_baseline,23_baseline,93515.9,90959.7,90957.2,90959.7,90957.2,-2.70%,-2.70%,-2.70%,-2.70%,3.42576,3.38085,3.33394,3.38085,3.33394,-1.30%,-2.70%,-1.30%,-2.70%,59.56,65.79,58.78,65.79,58.78,10.50%,-1.30%,10.50%,-1.30%
libud,ibex_libud_original,5_baseline,17_baseline,0_baseline,17_baseline,127043,127252,127592,92496.2,127592,0.20%,0.40%,-27.20%,0.40%,4.36826,4.42531,4.35745,3.43945,4.35745,1.30%,-0.20%,-21.30%,-0.20%,43.1,42.29,40.65,69.43,40.65,-1.90%,-5.70%,61.10%,-5.70%
