application_name,baseline_variant,minA_1.2x_variant,minE_1.2x_variant,minA_unconstrained_variant,minE_unconstrained_variant,baseline_Period (ns),minA_1.2x_Period (ns),minE_1.2x_Period (ns),minA_unconstrained_Period (ns),minE_unconstrained_Period (ns),baseline_Total Power @ 5.87Hz (mW),minA_1.2x_Total Power @ 5.87Hz (mW),minE_1.2x_Total Power @ 5.87Hz (mW),minA_unconstrained_Total Power @ 5.87Hz (mW),minE_unconstrained_Total Power @ 5.87Hz (mW),minA_1.2x_Total Power @ 5.87Hz (mW)_%,minE_1.2x_Total Power @ 5.87Hz (mW)_%,minA_unconstrained_Total Power @ 5.87Hz (mW)_%,minE_unconstrained_Total Power @ 5.87Hz (mW)_%,baseline_Total Power @ CSV Freq (mW),minA_1.2x_Total Power @ CSV Freq (mW),minE_1.2x_Total Power @ CSV Freq (mW),minA_unconstrained_Total Power @ CSV Freq (mW),minE_unconstrained_Total Power @ CSV Freq (mW),minA_1.2x_Total Power @ CSV Freq (mW)_%,minE_1.2x_Total Power @ CSV Freq (mW)_%,minA_unconstrained_Total Power @ CSV Freq (mW)_%,minE_unconstrained_Total Power @ CSV Freq (mW)_%
basicmath_small_O3,basicmath_small_O3_variant_original,3_baseline,3_uarchaware,0_baseline,3_uarchaware,1.66E+08,1.66E+08,1.47E+08,1.66E+08,1.47E+08,659.394,641.85,644.931,536.268,644.931,-2.70%,-2.20%,-18.70%,-2.20%,662.967,645.419,666.745,539.519,666.745,-2.60%,0.60%,-18.60%,0.60%
bitcnts_O3,bitcnts_O3_variant_original,13_uarchaware,11_baseline,13_uarchaware,11_baseline,1.60E+08,1.60E+08,1.48E+08,1.60E+08,1.48E+08,580.699,521.581,520.899,521.581,520.899,-10.20%,-10.30%,-10.20%,-10.30%,589.442,530.105,539.912,530.105,539.912,-10.10%,-8.40%,-10.10%,-8.40%
combined,combined_variant_original,10_uarchaware,original,0_baseline,original,1.44E+08,1.44E+08,1.44E+08,1.44E+08,1.44E+08,605.495,564.235,605.495,539.131,605.495,-6.80%,0.00%,-11.00%,0.00%,628.811,587.5,628.811,561.89,628.811,-6.60%,0.00%,-10.60%,0.00%
dijkstra_small_O3,dijkstra_small_O3_variant_original,6_uarchaware,6_uarchaware,0_baseline,6_uarchaware,1.46E+08,1.46E+08,1.45E+08,1.46E+08,1.45E+08,603.619,568.193,568.193,521.171,568.193,-5.90%,-5.90%,-13.70%,-5.90%,625.113,589.636,591.087,542.135,591.087,-5.70%,-5.40%,-13.30%,-5.40%
libedn,libedn_variant_original,21_uarchaware,original,0_baseline,original,1.45E+08,1.45E+08,1.45E+08,1.45E+08,1.45E+08,577.353,569.351,577.353,539.007,577.353,-1.40%,0.00%,-6.60%,0.00%,599.533,591.559,599.533,560.68,599.533,-1.30%,0.00%,-6.50%,0.00%
libhuffbench,libhuffbench_variant_original,19_uarchaware,9_uarchaware,19_uarchaware,9_uarchaware,1.44E+08,1.44E+08,1.43E+08,1.44E+08,1.43E+08,536.638,512.25,514.773,512.25,514.773,-4.50%,-4.10%,-4.50%,-4.10%,559.986,535.593,539.441,535.593,539.441,-4.40%,-3.70%,-4.40%,-3.70%
libnsichneu,libnsichneu_variant_original,0_baseline,original,0_baseline,original,1.45E+08,1.45E+08,1.45E+08,1.45E+08,1.45E+08,517.631,515.05,517.631,515.05,517.631,-0.50%,0.00%,-0.50%,0.00%,539.684,537.069,539.684,537.069,539.684,-0.50%,0.00%,-0.50%,0.00%
libslre,libslre_variant_original,9_uarchaware,17_baseline,9_uarchaware,17_baseline,1.48E+08,1.48E+08,1.45E+08,1.48E+08,1.45E+08,537.101,511.49,531.736,511.49,531.736,-4.80%,-1.00%,-4.80%,-1.00%,556.336,530.714,553.6,530.714,553.6,-4.60%,-0.50%,-4.60%,-0.50%
libstatemate,libstatemate_variant_original,original,20_baseline,original,20_baseline,1.57E+08,1.57E+08,1.52E+08,1.57E+08,1.52E+08,508.781,508.781,511.674,508.781,511.674,0.00%,0.60%,0.00%,0.60%,519.904,519.904,527.174,519.904,527.174,0.00%,1.40%,0.00%,1.40%
libud,libud_variant_original,24_baseline,24_baseline,0_baseline,24_baseline,1.69E+08,1.69E+08,1.51E+08,1.69E+08,1.51E+08,652.008,640.122,640.122,535.857,640.122,-1.80%,-1.80%,-17.80%,-1.80%,653.368,641.48,657.668,537.093,657.668,-1.80%,0.70%,-17.80%,0.70%
libwikisort,libwikisort_variant_original,12_uarchaware,15_uarchaware,0_baseline,15_uarchaware,1.73E+08,1.73E+08,1.48E+08,1.73E+08,1.48E+08,656.842,565.469,571.616,539.297,571.616,-13.90%,-13.00%,-17.90%,-13.00%,654.965,563.722,591.048,537.587,591.048,-13.90%,-9.80%,-17.90%,-9.80%
matmult-int,matmult-int_variant_original,15_uarchaware,10_baseline,0_baseline,10_baseline,1.52E+08,1.52E+08,1.46E+08,1.52E+08,1.46E+08,615.062,572.043,575.827,537.944,575.827,-7.00%,-6.40%,-12.50%,-6.40%,630.326,587.284,596.948,552.798,596.948,-6.80%,-5.30%,-12.30%,-5.30%
md5,md5_variant_original,5_baseline,original,5_baseline,original,1.46E+08,1.46E+08,1.46E+08,1.46E+08,1.46E+08,538.942,519.8,538.942,519.8,538.942,-3.60%,0.00%,-3.60%,0.00%,559.899,540.769,559.899,540.769,559.899,-3.40%,0.00%,-3.40%,0.00%
mont64,mont64_variant_original,14_uarchaware,26_uarchaware,0_baseline,26_uarchaware,1.67E+08,1.67E+08,1.49E+08,1.67E+08,1.49E+08,576.301,569.912,570.064,522.807,570.064,-1.10%,-1.10%,-9.30%,-1.10%,578.527,572.137,589,524.979,589,-1.10%,1.80%,-9.30%,1.80%
