application_name,original_area,original_freq,original_latency,original_cycles,minA_1.2x_variant,minA_1.2x_area_norm,minA_1.2x_cycle_norm,minA_1.2x_freq,minA_1.2x_freq_norm,minA_1.2x_latency_norm,minA_1.2x_power_norm,minA_1.2x_power_iso_norm,minA_1.2x_energy_norm,minE_1.2x_variant,minE_1.2x_area_norm,minE_1.2x_cycle_norm,minE_1.2x_freq,minE_1.2x_freq_norm,minE_1.2x_latency_norm,minE_1.2x_power_norm,minE_1.2x_power_iso_norm,minE_1.2x_energy_norm,minA_unconstrained_variant,minA_unconstrained_area_norm,minA_unconstrained_cycle_norm,minA_unconstrained_freq,minA_unconstrained_freq_norm,minA_unconstrained_latency_norm,minA_unconstrained_power_norm,minA_unconstrained_power_iso_norm,minA_unconstrained_energy_norm,minE_unconstrained_variant,minE_unconstrained_area_norm,minE_unconstrained_cycle_norm,minE_unconstrained_freq,minE_unconstrained_freq_norm,minE_unconstrained_latency_norm,minE_unconstrained_power_norm,minE_unconstrained_power_iso_norm,minE_unconstrained_energy_norm
basicmath_small_O3,,,,,3_baseline,0.9676512780046224,1.0055995775660067,,1.0,1.0055995775660067,0.9735311108999392,0.9733937524454271,0.978982473868344,3_uarchaware,0.9714083246649771,1.0055995775660067,,1.129251700680272,0.8905008307361626,1.0056986245167558,0.9780662244424426,0.8955754606023871,0_baseline,0.7671064335243134,74.28312117043535,,1.0,74.28312117043535,0.8137946534292054,0.8132740061329039,60.451206848534106,3_uarchaware,0.9714083246649771,1.0055995775660067,,1.129251700680272,0.8905008307361626,1.0056986245167558,0.9780662244424426,0.8955754606023871
bitcnts_O3,,,,,13_uarchaware,0.8529392341846422,1.0004585126289955,,1.0,1.0004585126289955,0.8993336070385212,0.8981951062426491,0.8997459628550284,11_baseline,0.8541916897436267,1.0004585126289955,,1.0810810810810811,0.9254241241818209,0.91597137631862,0.8970206595843975,0.847662008705276,13_uarchaware,0.8529392341846422,1.0004585126289955,,1.0,1.0004585126289955,0.8993336070385212,0.8981951062426491,0.8997459628550284,11_baseline,0.8541916897436267,1.0004585126289955,,1.0810810810810811,0.9254241241818209,0.91597137631862,0.8970206595843975,0.847662008705276
combined,,,,,10_uarchaware,0.9041319040893312,1.1507704236872425,,1.0,1.1507704236872425,0.934302994063399,0.9318574059240786,1.0751682523305968,original,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0_baseline,0.8411330662596491,7.240947764690767,,1.0,7.240947764690767,0.8935753350370779,0.8903971131058059,6.470332324819532,original,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
dijkstra_small_O3,,,,,6_uarchaware,0.9181761985581745,1.0483410339787982,,1.0,1.0483410339787982,0.9432470609313834,0.9413106611952241,0.9888445991542689,6_uarchaware,0.9181761985581745,1.0483410339787982,,1.006896551724138,1.0411606159378475,0.9455682412619797,0.9413106611952241,0.98448841248359,0_baseline,0.8083762655620266,2.5025874209823615,,1.0,2.5025874209823615,0.8672591995367237,0.8634105288269588,2.1703919634918365,6_uarchaware,0.9181761985581745,1.0483410339787982,,1.006896551724138,1.0411606159378475,0.9455682412619797,0.9413106611952241,0.98448841248359
libedn,,,,,21_uarchaware,0.9794328491513071,1.0,,1.0,1.0,0.9866996478926097,0.9861401949933577,0.9866996478926097,original,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0_baseline,0.9009556515909378,24.850263395214235,,1.0,24.850263395214235,0.9351945597656842,0.9335830938784417,23.239831135948673,original,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
libhuffbench,,,,,19_uarchaware,0.939622963214327,1.0000180704644854,,1.0,1.0000180704644854,0.9564399824281321,0.9545540941938513,0.956457265742867,9_uarchaware,0.9431926065325246,1.003873676553601,,1.006993006993007,0.9969023315775342,0.9633115827895699,0.959255587565547,0.960327562918567,19_uarchaware,0.939622963214327,1.0000180704644854,,1.0,1.0000180704644854,0.9564399824281321,0.9545540941938513,0.956457265742867,9_uarchaware,0.9431926065325246,1.003873676553601,,1.006993006993007,0.9969023315775342,0.9633115827895699,0.959255587565547,0.960327562918567
libnsichneu,,,,,0_baseline,0.993609642880546,1.0803603633646763,,1.0,1.0803603633646763,0.9951545719346877,0.9950138225879053,1.0751255549393781,original,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0_baseline,0.993609642880546,1.0803603633646763,,1.0,1.0803603633646763,0.9951545719346877,0.9950138225879053,1.0751255549393781,original,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
libslre,,,,,9_uarchaware,0.9360367188301365,1.0039202501485007,,1.0,1.0039202501485007,0.953945097926433,0.9523162310254496,0.9576848013382406,17_baseline,0.9857157326123779,1.0,,1.0206896551724138,0.9797297297297297,0.9950821086537632,0.9900111897017507,0.974911525370241,9_uarchaware,0.9360367188301365,1.0039202501485007,,1.0,1.0039202501485007,0.953945097926433,0.9523162310254496,0.9576848013382406,17_baseline,0.9857157326123779,1.0,,1.0206896551724138,0.9797297297297297,0.9950821086537632,0.9900111897017507,0.974911525370241
libstatemate,,,,,original,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,20_baseline,1.0074168789497995,1.0000004155308821,,1.0328947368421053,0.9681532685394527,1.0139833507724503,1.005686140009159,0.9816912952949342,original,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,20_baseline,1.0074168789497995,1.0000004155308821,,1.0328947368421053,0.9681532685394527,1.0139833507724503,1.005686140009159,0.9816912952949342
libud,,,,,24_baseline,0.9769173130239639,1.0000003755095666,,1.0,1.0000003755095666,0.9818050470791345,0.9817701623292965,0.9818054157563222,24_baseline,0.9769173130239639,1.0000003755095666,,1.119205298013245,0.8934914597748199,1.006581283442103,0.9817701623292965,0.8993717803246964,0_baseline,0.7770889666276382,4.26564673261616,,1.0,4.26564673261616,0.8220375041324337,0.8218564802885854,3.506521593590459,24_baseline,0.9769173130239639,1.0000003755095666,,1.119205298013245,0.8934914597748199,1.006581283442103,0.9817701623292965,0.8993717803246964
libwikisort,,,,,12_uarchaware,0.8364326339921515,1.148609665572714,,1.0,1.148609665572714,0.8606902658920705,0.8608904424503915,0.9885971584679815,15_uarchaware,0.849345064500331,1.0099464795907158,,1.1689189189189189,0.8640004565284737,0.9024115792446924,0.8702488574116759,0.7796840164439951,0_baseline,0.7752530400156429,5.5002787097488195,,1.0,5.5002787097488195,0.8207873703174978,0.8210452437572506,4.514559298188053,15_uarchaware,0.849345064500331,1.0099464795907158,,1.1689189189189189,0.8640004565284737,0.9024115792446924,0.8702488574116759,0.7796840164439951
matmult-int,,,,,15_uarchaware,0.9038108935114918,1.0076101354339626,,1.0,1.0076101354339626,0.9317147000123746,0.9300574576221584,0.9388051750652826,10_baseline,0.9134307660251181,1.0111219147098558,,1.0410958904109588,0.9712092075502563,0.9470464489803688,0.936209682926274,0.9197802312275083,0_baseline,0.8252833696695306,14.098210382648592,,1.0,14.098210382648592,0.8770033284363964,0.8746175182339341,12.364177430579376,10_baseline,0.9134307660251181,1.0111219147098558,,1.0410958904109588,0.9712092075502563,0.9470464489803688,0.936209682926274,0.9197802312275083
md5,,,,,5_baseline,0.9525027932236934,1.0519283548530405,,1.0,1.0519283548530405,0.9658331234740551,0.9644822633975455,1.0159872486386363,original,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,5_baseline,0.9525027932236934,1.0519283548530405,,1.0,1.0519283548530405,0.9658331234740551,0.9644822633975455,1.0159872486386363,original,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
mont64,,,,,14_uarchaware,0.9829914786923056,1.0,,1.0,1.0,0.988954707386172,0.9889137794312347,0.988954707386172,26_uarchaware,0.9841064385616624,1.0,,1.1208053691275168,0.8922155688622754,1.0181028716032268,0.9891775304918783,0.9083672327477891,0_baseline,0.8652094271725383,10.55249916635639,,1.0,10.55249916635639,0.9074407936016815,0.9071769786968962,9.575768217999524,26_uarchaware,0.9841064385616624,1.0,,1.1208053691275168,0.8922155688622754,1.0181028716032268,0.9891775304918783,0.9083672327477891
patricia_O3,,,,,3_baseline,0.8655462846924272,1.102308074692055,,1.0,1.102308074692055,0.9053560466543892,0.9043261619910207,0.9979812806984101,3_baseline,0.8655462846924272,1.102308074692055,,1.0666666666666667,1.0334138200238017,0.9209399086010503,0.9043261619910207,0.9517120289597822,3_baseline,0.8655462846924272,1.102308074692055,,1.0,1.102308074692055,0.9053560466543892,0.9043261619910207,0.9979812806984101,3_baseline,0.8655462846924272,1.102308074692055,,1.0666666666666667,1.0334138200238017,0.9209399086010503,0.9043261619910207,0.9517120289597822
picojpeg_test,,,,,26_uarchaware,0.9927977424899358,1.0,,1.0,1.0,0.9947928917980854,0.9946747734193643,0.9947928917980854,12_baseline,1.0055270570417914,1.0026888049299116,,1.1056338028169015,0.9068905114652703,1.0303880539427304,1.004773746805295,0.9344491492478273,0_baseline,0.891918631047222,4.4633428016501435,,1.0,4.4633428016501435,0.9282156896922272,0.9273063487385763,4.1429448169665255,12_baseline,1.0055270570417914,1.0026888049299116,,1.1056338028169015,0.9068905114652703,1.0303880539427304,1.004773746805295,0.9344491492478273
primecount,,,,,26_uarchaware,0.9766699029950577,1.0,,1.0,1.0,0.9827673817466805,0.9825042282457189,0.9827673817466805,26_uarchaware,0.9766699029950577,1.0,,1.1048951048951048,0.9050632911392406,1.0066296295666863,0.9825042282457189,0.9110635254938997,0_baseline,0.8974995207961388,3.5406682422279103,,1.0,3.5406682422279103,0.9323662220288603,0.9315940745762242,3.3011994724636025,26_uarchaware,0.9766699029950577,1.0,,1.1048951048951048,0.9050632911392406,1.0066296295666863,0.9825042282457189,0.9110635254938997
qsort_large_O3,,,,,20_uarchaware,0.9890840263779715,1.0000000358474386,,1.0,1.0000000358474386,0.9946037797610451,0.9944286330885285,0.994603815415043,original,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0_baseline,0.8249505061104128,10.944185287379593,,1.0,10.944185287379593,0.8854566810116588,0.882697011240303,9.69060198093976,original,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
qsort_small_O3,,,,,24_uarchaware,0.9445324141068568,1.0,,1.0,1.0,0.9629816542595703,0.96164878557592,0.9629816542595703,24_uarchaware,0.9445324141068568,1.0,,0.9671052631578947,1.034013605442177,0.9554386185468883,0.96164878557592,0.9879365307423607,24_uarchaware,0.9445324141068568,1.0,,1.0,1.0,0.9629816542595703,0.96164878557592,0.9629816542595703,24_uarchaware,0.9445324141068568,1.0,,0.9671052631578947,1.034013605442177,0.9554386185468883,0.96164878557592,0.9879365307423607
rijndael_Oz,,,,,11_uarchaware,0.8924483605690183,1.0000086431172743,,1.0,1.0000086431172743,0.8999396649519362,0.8995626803625684,0.8999474432360002,10_uarchaware,0.898695397958217,1.0000086431172743,,1.087248322147651,0.9197610359535424,0.924018691295098,0.905194441972515,0.8498763887460158,0_baseline,0.8207469618609274,5.828990920818042,,1.0,5.828990920818042,0.8526332163294292,0.8519771551340563,4.969991276772129,10_uarchaware,0.898695397958217,1.0000086431172743,,1.087248322147651,0.9197610359535424,0.924018691295098,0.905194441972515,0.8498763887460158
sha_O3,,,,,1_uarchaware,0.9608485751897828,1.0613695407535115,,1.0,1.0613695407535115,0.9701977336330687,0.969245084216431,1.0297383229862278,18_baseline,0.9895362156528555,1.0000015814712877,,1.0416666666666667,0.9600015182124362,1.002003945497087,0.9912391413107747,0.9619253089320547,1_uarchaware,0.9608485751897828,1.0613695407535115,,1.0,1.0613695407535115,0.9701977336330687,0.969245084216431,1.0297383229862278,18_baseline,0.9895362156528555,1.0000015814712877,,1.0416666666666667,0.9600015182124362,1.002003945497087,0.9912391413107747,0.9619253089320547
tarfind,,,,,26_uarchaware,0.9812205328505088,1.0,,1.0,1.0,0.9852505500129668,0.9851817738060125,0.9852505500129668,19_baseline,1.0026250773073855,1.0,,1.143835616438356,0.8742514970059881,1.0350617165213418,1.0030754158193318,0.9049042551623708,0_baseline,0.8947906517943,43.09310433807872,,1.0,43.09310433807872,0.9288735768790177,0.9286703613053009,40.02804596533189,19_baseline,1.0026250773073855,1.0,,1.143835616438356,0.8742514970059881,1.0350617165213418,1.0030754158193318,0.9049042551623708
GEOMEAN,,,,,,0.9418272688772792,1.0289868177524502,,1.0,1.0289868177524502,0.9568700692368696,0.9560850391609887,0.984606687546613,,0.9570874504868994,1.008131876886003,,1.055069238643333,0.9555125293789396,0.9805091846208547,0.9673904442880928,0.9368888110763545,,0.8762487178448903,3.8301933453153523,,1.0,3.8301933453153523,0.9108615927965533,0.9096529705834262,3.4887760112327,,0.9570874504868994,1.008131876886003,,1.055069238643333,0.9555125293789396,0.9805091846208547,0.9673904442880928,0.9368888110763545
